조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
SMA5>SMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,162,138,85.19,3.77,SMA5>SMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
SMA10>SMA50 + Price>SMA20 + MACD_Hist>0,3,1052,896,85.17,3.63,SMA10>SMA50 + Price>SMA20 + MACD_Hist>0
SMA10>SMA50 + Price>SMA20 + MACD>Signal,3,1052,896,85.17,3.63,SMA10>SMA50 + Price>SMA20 + MACD>Signal
SMA10>SMA50 + EMA5>EMA20 + MACD_Hist>0,3,1057,900,85.15,3.61,SMA10>SMA50 + EMA5>EMA20 + MACD_Hist>0
SMA10>SMA50 + EMA5>EMA20 + MACD>Signal,3,1057,900,85.15,3.61,SMA10>SMA50 + EMA5>EMA20 + MACD>Signal
EMA10>EMA50 + MACD>Signal + VolSpike>1.5,3,168,143,85.12,4.4,EMA10>EMA50 + MACD>Signal + VolSpike>1.5
EMA10>EMA50 + MACD_Hist>0 + VolSpike>1.5,3,168,143,85.12,4.4,EMA10>EMA50 + MACD_Hist>0 + VolSpike>1.5
SMA10>SMA50 + SMA20>SMA100 + MACD_Hist>0,3,792,674,85.1,4.08,SMA10>SMA50 + SMA20>SMA100 + MACD_Hist>0
SMA10>SMA50 + SMA20>SMA100 + MACD>Signal,3,792,674,85.1,4.08,SMA10>SMA50 + SMA20>SMA100 + MACD>Signal
SMA5>SMA20 + SMA10>SMA50 + MACD>Signal,3,1058,900,85.07,3.6,SMA5>SMA20 + SMA10>SMA50 + MACD>Signal
SMA10>SMA50 + MACD_Hist>0,2,1058,900,85.07,3.6,SMA10>SMA50 + MACD_Hist>0
SMA10>SMA50 + MACD>Signal + MACD_Hist>0,3,1058,900,85.07,3.6,SMA10>SMA50 + MACD>Signal + MACD_Hist>0
SMA5>SMA20 + SMA10>SMA50 + MACD_Hist>0,3,1058,900,85.07,3.6,SMA5>SMA20 + SMA10>SMA50 + MACD_Hist>0
SMA10>SMA50 + MACD>Signal,2,1058,900,85.07,3.6,SMA10>SMA50 + MACD>Signal
SMA10>SMA50 + EMA10>EMA50 + MACD_Hist>0,3,956,812,84.94,3.77,SMA10>SMA50 + EMA10>EMA50 + MACD_Hist>0
SMA10>SMA50 + EMA10>EMA50 + MACD>Signal,3,956,812,84.94,3.77,SMA10>SMA50 + EMA10>EMA50 + MACD>Signal
SMA5>SMA20 + SMA20>SMA100 + MACD_Hist>0,3,822,698,84.91,4.07,SMA5>SMA20 + SMA20>SMA100 + MACD_Hist>0
SMA5>SMA20 + SMA20>SMA100 + MACD>Signal,3,822,698,84.91,4.07,SMA5>SMA20 + SMA20>SMA100 + MACD>Signal
MACD>Signal + ADX>20_PlusDI>MinusDI,2,990,840,84.85,3.73,MACD>Signal + ADX>20_PlusDI>MinusDI
MACD_Hist>0 + ADX>20_PlusDI>MinusDI,2,990,840,84.85,3.73,MACD_Hist>0 + ADX>20_PlusDI>MinusDI
MACD>Signal + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,990,840,84.85,3.73,MACD>Signal + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>SMA50 + MACD_Hist>0,3,809,686,84.8,4.09,SMA20>SMA100 + Price>SMA50 + MACD_Hist>0
SMA20>SMA100 + Price>SMA50 + MACD>Signal,3,809,686,84.8,4.09,SMA20>SMA100 + Price>SMA50 + MACD>Signal
SMA20>SMA100 + Price>EMA20 + MACD>Signal,3,820,695,84.76,4.09,SMA20>SMA100 + Price>EMA20 + MACD>Signal
SMA20>SMA100 + Price>EMA20 + MACD_Hist>0,3,820,695,84.76,4.09,SMA20>SMA100 + Price>EMA20 + MACD_Hist>0
SMA10>SMA50 + Price>SMA200 + MACD_Hist>0,3,734,622,84.74,4.03,SMA10>SMA50 + Price>SMA200 + MACD_Hist>0
SMA20>SMA100 + MACD>Signal + MACD_Hist>0,3,832,705,84.74,4.06,SMA20>SMA100 + MACD>Signal + MACD_Hist>0
SMA20>SMA100 + MACD_Hist>0,2,832,705,84.74,4.06,SMA20>SMA100 + MACD_Hist>0
SMA10>SMA50 + Price>SMA200 + MACD>Signal,3,734,622,84.74,4.03,SMA10>SMA50 + Price>SMA200 + MACD>Signal
SMA20>SMA100 + MACD>Signal,2,832,705,84.74,4.06,SMA20>SMA100 + MACD>Signal
SMA5>SMA20 + EMA10>EMA50 + MACD>Signal,3,979,829,84.68,3.76,SMA5>SMA20 + EMA10>EMA50 + MACD>Signal
SMA5>SMA20 + EMA10>EMA50 + MACD_Hist>0,3,979,829,84.68,3.76,SMA5>SMA20 + EMA10>EMA50 + MACD_Hist>0
EMA10>EMA50 + Price>SMA50 + MACD>Signal,3,972,823,84.67,3.78,EMA10>EMA50 + Price>SMA50 + MACD>Signal
EMA10>EMA50 + Price>SMA50 + MACD_Hist>0,3,972,823,84.67,3.78,EMA10>EMA50 + Price>SMA50 + MACD_Hist>0
SMA20>SMA100 + Price>SMA200 + MACD_Hist>0,3,736,623,84.65,4.23,SMA20>SMA100 + Price>SMA200 + MACD_Hist>0
