조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
BB_하단터치(2σ) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,69,0.4493,-0.019,-0.8363
RSI21_과매도(30이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,49,0.449,0.014,0.4032
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,87,0.4483,0.0021,-0.3363
RSI14_중립반등(40~50) + STOCH14_골든크로스 + ADX14_강세(25이상),3,58,0.4483,-0.0046,-0.3727
SMA20_골든크로스(50) + EMA7_골든크로스(20),2,29,0.4483,0.0055,0.0027
EMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI),2,29,0.4483,-0.0142,-0.5003
MACD_히스토_증가 + SMA20_골든크로스(50) + EMA7_골든크로스(20),3,29,0.4483,0.0055,0.0027
MACD_히스토_증가 + 거래량_증가(1.5배) + OBV_SMA위,3,148,0.4459,-0.0076,-0.8798
MACD_골든크로스 + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,45,0.4444,-0.0031,-0.2832
MACD_히스토_전환(+) + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,45,0.4444,-0.0031,-0.2832
RSI14_과매도(35이하) + 가격_SMA200_위 + STOCH14_골든크로스,3,36,0.4444,-0.0259,-0.7041
가격_SMA200_위 + BB_하단터치(2σ) + ADX14_강세(25이상),3,27,0.4444,-0.0391,-0.7666
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,88,0.4432,0.0093,0.0401
RSI14_과매도(35이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,52,0.4423,0.0049,-0.0783
EMA7_골든크로스(20) + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,34,0.4412,-0.0189,-0.5271
RSI21_과매도(30이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,50,0.44,0.0112,0.1949
EMA7_골든크로스(20) + 가격_SMA50_위 + OBV_SMA위,3,50,0.44,-0.0162,-0.6934
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + OBV_SMA위,3,25,0.44,0.0317,0.8003
EMA20_골든크로스(50),1,32,0.4375,-0.012,-0.4912
RSI14_과매도(30이하) + 거래량_증가(1.5배),2,32,0.4375,-0.0183,-0.555
SMA20_골든크로스(50) + 거래량_증가(1.5배),2,32,0.4375,0.0111,0.0133
RSI14_과매도(30이하) + RSI14_과매도(35이하) + 거래량_증가(1.5배),3,32,0.4375,-0.0183,-0.555
SMA20_골든크로스(50) + BB_%B_중간반등 + STOCH14_골든크로스,3,32,0.4375,-0.0034,-0.2121
STOCH14_과매도(20이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,103,0.4369,0.004,-0.349
RSI14_과매도(30이하) + MACD_히스토_증가 + STOCH14_골든크로스,3,55,0.4364,0.0189,0.5381
RSI14_과매도(35이하) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,101,0.4356,0.0061,-0.3041
RSI14_과매도(35이하) + BB_하단터치(2σ) + STOCH21_과매도(20이하),3,85,0.4353,-0.0248,-0.9369
RSI14_과매도(35이하) + RSI7_과매도(25이하) + BB_하단터치(2σ),3,69,0.4348,-0.026,-0.9105
MACD_골든크로스 + BB_%B_중간반등,2,23,0.4348,-0.0059,-0.185
MACD_히스토_전환(+) + BB_%B_중간반등,2,23,0.4348,-0.0059,-0.185
MACD_골든크로스 + MACD_히스토_전환(+) + BB_%B_중간반등,3,23,0.4348,-0.0059,-0.185
MACD_골든크로스 + MACD_히스토_증가 + BB_%B_중간반등,3,23,0.4348,-0.0059,-0.185
MACD_히스토_전환(+) + MACD_히스토_증가 + BB_%B_중간반등,3,23,0.4348,-0.0059,-0.185
RSI21_과매도(30이하) + BB_하단터치(2σ),2,30,0.4333,-0.0554,-0.8848
RSI14_과매도(30이하) + BB_하단터치(2σ) + ADX14_강세(25이상),3,30,0.4333,-0.0325,-0.7405
RSI14_과매도(30이하) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,30,0.4333,-0.0223,-0.5847
RSI14_과매도(30이하) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,30,0.4333,-0.0223,-0.5847
RSI21_과매도(30이하) + BB_하단터치(2σ) + BB_하단터치(1.5σ),3,30,0.4333,-0.0554,-0.8848
RSI21_과매도(30이하) + BB_하단터치(2σ) + BB_%B_과매도(0.2이하),3,30,0.4333,-0.0554,-0.8848
RSI21_과매도(30이하) + BB_하단터치(2σ) + STOCH14_과매도(20이하),3,30,0.4333,-0.0554,-0.8848
RSI21_과매도(30이하) + BB_하단터치(2σ) + STOCH21_과매도(20이하),3,30,0.4333,-0.0554,-0.8848
MACD_히스토_증가 + SMA20_골든크로스(50) + STOCH14_골든크로스,3,67,0.4328,-0.0011,-0.3542
BB_하단터치(1.5σ) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,67,0.4328,-0.003,-0.4906
RSI14_과매도(35이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,112,0.4286,0.005,-0.3705
RSI14_과매도(35이하) + BB_하단터치(2σ) + STOCH14_과매도(20이하),3,84,0.4286,-0.0256,-0.9396
RSI14_중립반등(40~50) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,84,0.4286,-0.0184,-0.857
BB_하단터치(1.5σ) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,70,0.4286,-0.0033,-0.5056
RSI14_과매도(35이하) + RSI21_과매도(30이하) + STOCH14_골든크로스,3,42,0.4286,0.0123,0.1643
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,28,0.4286,0.0115,0.0671
MACD_히스토_증가 + EMA20_골든크로스(50) + 가격_SMA50_위,3,21,0.4286,-0.0135,-0.3433
MACD_히스토_증가 + 가격_SMA200_위 + 거래량_증가(1.5배),3,110,0.4273,-0.0147,-0.8677
SMA20_골든크로스(50) + STOCH14_골든크로스,2,82,0.4268,0.0004,-0.3211
MACD_히스토_증가 + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,136,0.4265,-0.0076,-0.8535
RSI14_과매도(35이하) + STOCH14_골든크로스,2,129,0.4264,0.0028,-0.508
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + 가격_SMA200_위,3,54,0.4259,-0.0111,-0.6032
RSI14_과매도(35이하) + BB_하단터치(2σ),2,87,0.4253,-0.0261,-0.9472
RSI14_과매도(35이하) + BB_하단터치(2σ) + BB_하단터치(1.5σ),3,87,0.4253,-0.0261,-0.9472
RSI14_과매도(35이하) + BB_하단터치(2σ) + BB_%B_과매도(0.2이하),3,87,0.4253,-0.0261,-0.9472
BB_하단터치(1.5σ) + STOCH14_골든크로스,2,73,0.4247,-0.0041,-0.5459
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,73,0.4247,-0.0041,-0.5459
RSI14_과매도(35이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,99,0.4242,0.0001,-0.5169
RSI14_과매도(35이하) + RSI7_과매도(25이하) + 가격_SMA200_위,3,59,0.4237,-0.0377,-0.9487
RSI7_과매도(25이하) + RSI21_과매도(30이하) + BB_하단터치(2σ),3,26,0.4231,-0.0558,-0.8544
SMA20_골든크로스(50) + EMA7_골든크로스(20) + 가격_SMA50_위,3,26,0.4231,0.0019,-0.0798
RSI14_과매도(35이하) + RSI7_과매도(25이하) + STOCH14_골든크로스,3,71,0.4225,0.0049,-0.2438
SMA20_골든크로스(50) + STOCH14_골든크로스 + ADX14_강세(25이상),3,45,0.4222,-0.0203,-0.6556
SMA20_골든크로스(50) + 가격_SMA200_위 + STOCH14_골든크로스,3,43,0.4186,-0.0167,-0.5747
가격_SMA200_위 + BB_하단터치(2σ),2,36,0.4167,-0.0471,-0.8924
RSI14_중립반등(40~50) + MACD_히스토_증가 + STOCH21_과매도(20이하),3,36,0.4167,-0.0171,-0.5461
가격_SMA200_위 + BB_하단터치(2σ) + BB_하단터치(1.5σ),3,36,0.4167,-0.0471,-0.8924
가격_SMA200_위 + BB_하단터치(2σ) + BB_%B_과매도(0.2이하),3,36,0.4167,-0.0471,-0.8924
가격_SMA200_위 + BB_하단터치(2σ) + STOCH14_과매도(20이하),3,36,0.4167,-0.0471,-0.8924
가격_SMA200_위 + BB_하단터치(2σ) + STOCH21_과매도(20이하),3,36,0.4167,-0.0471,-0.8924
RSI21_과매도(30이하) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,41,0.4146,0.0121,0.1417
RSI14_과매도(35이하) + MACD_히스토_증가 + STOCH14_골든크로스,3,85,0.4118,0.0075,-0.1165
MACD_골든크로스 + EMA7_골든크로스(20),2,22,0.4091,-0.0082,-0.2893
MACD_히스토_전환(+) + EMA7_골든크로스(20),2,22,0.4091,-0.0082,-0.2893
MACD_골든크로스 + MACD_히스토_전환(+) + EMA7_골든크로스(20),3,22,0.4091,-0.0082,-0.2893
MACD_골든크로스 + MACD_히스토_증가 + EMA7_골든크로스(20),3,22,0.4091,-0.0082,-0.2893
MACD_히스토_전환(+) + MACD_히스토_증가 + EMA7_골든크로스(20),3,22,0.4091,-0.0082,-0.2893
STOCH14_과매도(20이하) + STOCH14_골든크로스 + OBV_SMA위,3,22,0.4091,0.0192,0.1729
RSI14_과매도(35이하) + BB_하단터치(2σ) + ADX14_강세(25이상),3,49,0.4082,-0.026,-0.8215
SMA20_골든크로스(50) + 가격_SMA50_위 + STOCH14_골든크로스,3,49,0.4082,-0.0099,-0.4804
RSI14_중립반등(40~50) + 가격_SMA50_위 + BB_%B_중간반등,3,96,0.4062,-0.0178,-0.9508
RSI7_과매도(25이하) + ADX14_강세(25이상) + OBV_SMA위,3,32,0.4062,0.0016,-0.08
MACD_히스토_증가 + 가격_SMA50_위 + 거래량_증가(1.5배),3,130,0.4,-0.0177,-0.9524
RSI14_중립반등(40~50) + 가격_SMA200_위 + STOCH14_골든크로스,3,60,0.4,-0.0063,-0.4651
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + STOCH14_골든크로스,3,55,0.4,-0.0033,-0.4709
RSI14_중립반등(40~50) + 가격_SMA50_위 + STOCH14_골든크로스,3,50,0.4,-0.0178,-0.8286
RSI14_과매도(35이하) + RSI21_과매도(30이하) + BB_하단터치(2σ),3,25,0.4,-0.0675,-0.8866
RSI7_과매도(25이하) + 가격_SMA200_위 + BB_하단터치(2σ),3,20,0.4,-0.0665,-0.8378
MACD_골든크로스 + EMA7_골든크로스(20) + 가격_SMA50_위,3,20,0.4,-0.0159,-0.3739
MACD_히스토_전환(+) + EMA7_골든크로스(20) + 가격_SMA50_위,3,20,0.4,-0.0159,-0.3739
BB_하단터치(1.5σ) + STOCH14_골든크로스 + ADX14_강세(25이상),3,43,0.3953,-0.0017,-0.3346
RSI21_과매도(30이하) + MACD_히스토_증가 + STOCH14_골든크로스,3,38,0.3947,0.0074,-0.0876
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + STOCH14_골든크로스,3,21,0.381,-0.0317,-0.5499
RSI7_과매도(25이하) + 가격_SMA50_위 + STOCH21_과매도(20이하),3,21,0.381,-0.0343,-0.5717
MACD_히스토_증가 + EMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI),3,21,0.381,-0.0304,-0.5596
SMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,21,0.381,0.0364,0.6165
RSI7_과매도(25이하) + OBV_SMA위,2,45,0.3778,-0.0101,-0.4909
MACD_히스토_증가 + EMA20_골든크로스(50),2,24,0.375,-0.0255,-0.5516
RSI14_과매도(35이하) + 가격_SMA200_위 + BB_하단터치(1.5σ),3,57,0.3684,-0.0449,-0.9631
RSI14_과매도(30이하) + 가격_SMA200_위 + BB_하단터치(1.5σ),3,33,0.3636,-0.0609,-0.9275
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + OBV_SMA위,3,28,0.3571,-0.012,-0.3904
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + STOCH14_골든크로스,3,51,0.3529,-0.0175,-0.7132
RSI21_과매도(30이하) + BB_하단터치(2σ) + ADX14_강세(25이상),3,20,0.35,-0.0657,-0.8124
BB_하단터치(2σ) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,20,0.35,-0.018,-0.3288
BB_하단터치(2σ) + STOCH14_골든크로스,2,21,0.3333,-0.0236,-0.4197
SMA20_골든크로스(50) + 가격_SMA50_위 + 거래량_증가(1.5배),3,21,0.3333,-0.0172,-0.4222
BB_하단터치(2σ) + BB_하단터치(1.5σ) + STOCH14_골든크로스,3,21,0.3333,-0.0236,-0.4197
BB_하단터치(2σ) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,21,0.3333,-0.0236,-0.4197
RSI7_과매도(25이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,22,0.3182,-0.0175,-0.3919
RSI7_과매도(25이하) + 가격_SMA200_위 + STOCH14_골든크로스,3,36,0.3056,-0.0337,-0.7993
RSI14_과매도(35이하) + 가격_SMA200_위 + BB_하단터치(2σ),3,22,0.2727,-0.0837,-0.9039
RSI7_과매도(25이하) + 가격_SMA200_위 + OBV_SMA위,3,23,0.2609,-0.0221,-0.4397
