조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
RSI14_과매도(30이하) + MACD_히스토_증가 + BB_%B_과매도(0.2이하),3,113,0.5575,0.0478,47.0685
가격_SMA200_위 + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,113,0.5575,0.0127,0.4202
RSI14_중립반등(40~50) + 거래량_증가(1.5배),2,70,0.5571,0.0218,2.0869
RSI14_과매도(30이하) + RSI7_과매도(25이하) + BB_하단터치(1.5σ),3,135,0.5556,0.0295,3.4382
RSI7_과매도(25이하) + 가격_SMA50_위,2,72,0.5556,0.011,0.4843
BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),2,72,0.5556,0.0116,0.4206
MACD_히스토_증가 + STOCH14_과매도(20이하) + OBV_SMA위,3,36,0.5556,0.0129,0.2634
BB_%B_중간반등 + STOCH14_과매도(20이하),2,27,0.5556,0.0288,0.9627
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,236,0.5551,0.0343,83.2136
가격_SMA200_위 + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,182,0.5549,0.0051,-0.4391
MACD_히스토_증가 + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,148,0.5541,0.0435,125.0401
STOCH21_과매도(20이하) + ADX14_추세상승(+DI>-DI),2,56,0.5536,0.02,0.9369
MACD_히스토_증가 + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,179,0.5531,0.038,124.446
RSI7_과매도(25이하) + MACD_히스토_증가 + STOCH14_과매도(20이하),3,123,0.5528,0.0415,31.9755
RSI14_과매도(30이하) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,152,0.5526,0.0262,3.1623
MACD_히스토_증가 + BB_%B_과매도(0.2이하),2,181,0.5525,0.038,132.1761
BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,67,0.5522,0.0071,0.0536
RSI14_중립반등(40~50) + STOCH21_과매도(20이하) + OBV_SMA위,3,29,0.5517,0.0571,2.4872
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,263,0.5513,0.0258,34.3316
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,240,0.55,0.033,66.0962
가격_SMA200_위 + 가격_SMA50_위 + STOCH14_골든크로스,3,240,0.55,0.0108,3.4337
SMA20_골든크로스(50) + BB_%B_중간반등 + OBV_SMA위,3,60,0.55,0.0104,0.339
RSI7_과매도(25이하) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,40,0.55,0.0125,0.3179
RSI14_과매도(35이하) + RSI21_과매도(30이하) + OBV_SMA위,3,20,0.55,0.0197,0.3578
가격_SMA50_위 + BB_%B_중간반등 + STOCH14_과매도(20이하),3,20,0.55,0.0239,0.4922
BB_하단터치(1.5σ) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,388,0.549,0.0238,131.4493
RSI14_과매도(30이하) + BB_하단터치(1.5σ),2,153,0.549,0.0258,3.0137
RSI14_과매도(30이하) + RSI14_과매도(35이하) + BB_하단터치(1.5σ),3,153,0.549,0.0258,3.0137
RSI14_과매도(30이하) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,153,0.549,0.0258,3.0137
RSI14_과매도(30이하) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,153,0.549,0.0258,3.0137
거래량_급증(2배이상),1,82,0.5488,0.0318,5.4862
거래량_급증(2배이상) + 거래량_증가(1.5배),2,82,0.5488,0.0318,5.4862
SMA20_골든크로스(50) + OBV_SMA위,2,124,0.5484,0.015,0.8747
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,31,0.5484,0.0035,-0.1633
가격_SMA50_위 + 거래량_급증(2배이상) + OBV_SMA위,3,31,0.5484,0.0131,0.3195
BB_하단터치(1.5σ) + STOCH14_과매도(20이하),2,389,0.5476,0.0236,126.5823
