date,sp500,nasdaq,gold,dxy,vix,us10y
2019-03-20,252.97833251953125,171.94593811035156,1300.5,95.76000213623047,13.90999984741211,2.5350000858306885
2019-03-21,255.83566284179688,174.63381958007812,1306.0999755859375,96.5,13.630000114440918,2.5369999408721924
2019-03-22,250.91168212890625,170.79811096191406,1311.5999755859375,96.6500015258789,16.479999542236328,2.4549999237060547
2019-03-25,250.7230224609375,170.4728546142578,1321.9000244140625,96.56999969482422,16.329999923706055,2.4200000762939453
2019-03-26,252.5919647216797,171.26683044433594,1314.300048828125,96.73999786376953,14.680000305175781,2.4140000343322754
2019-03-27,251.2711181640625,170.1667938232422,1309.9000244140625,96.7699966430664,15.149999618530273,2.374000072479248
2019-03-28,252.22360229492188,170.5589599609375,1289.800048828125,97.19999694824219,14.430000305175781,2.3889999389648438
2019-03-29,253.81396484375,171.8502960205078,1293.0,97.27999877929688,13.710000038146973,2.4140000343322754
2019-04-01,256.823974609375,174.1268310546875,1288.4000244140625,97.25,13.399999618530273,2.496999979019165
2019-04-02,256.94976806640625,174.78680419921875,1290.0,97.36000061035156,13.359999656677246,2.4809999465942383
2019-04-03,257.35406494140625,175.79119873046875,1289.9000244140625,97.08999633789062,13.739999771118164,2.5169999599456787
2019-04-04,258.03692626953125,175.72427368164062,1289.0,97.30999755859375,13.579999923706055,2.51200008392334
2019-04-05,259.2860107421875,176.6329345703125,1290.4000244140625,97.4000015258789,12.819999694824219,2.500999927520752
2019-04-08,259.48370361328125,177.08253479003906,1297.0999755859375,97.05000305175781,13.180000305175781,2.5190000534057617
2019-04-09,258.1537780761719,176.46080017089844,1303.5,97.01000213623047,14.279999732971191,2.499000072479248
2019-04-10,259.034423828125,177.40771484375,1309.0999755859375,96.94999694824219,13.300000190734863,2.4769999980926514
2019-04-11,258.9625549316406,176.9868621826172,1288.5999755859375,97.18000030517578,13.020000457763672,2.503999948501587
2019-04-12,260.7146301269531,177.75209045410156,1290.5999755859375,96.97000122070312,12.010000228881836,2.559999942779541
2019-04-15,260.5438232421875,177.78074645996094,1286.800048828125,96.94000244140625,12.319999694824219,2.552999973297119
2019-04-16,260.7146301269531,178.39295959472656,1272.5999755859375,97.04000091552734,12.180000305175781,2.5920000076293945
2019-04-17,260.0766906738281,179.0147247314453,1272.199951171875,97.01000213623047,12.600000381469727,2.5920000076293945
2019-04-18,260.58880615234375,179.24429321289062,1271.9000244140625,97.47000122070312,12.09000015258789,2.559999942779541
2019-04-22,260.8133850097656,179.75123596191406,1273.5,97.27999877929688,12.420000076293945,2.5899999141693115
2019-04-23,263.158447265625,182.03736877441406,1269.300048828125,97.56999969482422,12.279999732971191,2.569999933242798
2019-04-24,262.5745849609375,181.4634552001953,1275.5,98.0999984741211,13.140000343322754,2.5220000743865967
2019-04-25,262.4127502441406,182.199951171875,1275.800048828125,98.19999694824219,13.25,2.5339999198913574
2019-04-26,263.63482666015625,182.36257934570312,1284.9000244140625,98.01000213623047,12.729999542236328,2.505000114440918
2019-04-29,264.04803466796875,182.7165069580078,1278.5999755859375,97.86000061035156,13.109999656677246,2.5360000133514404
2019-04-30,264.18280029296875,181.30087280273438,1282.800048828125,97.4800033569336,13.119999885559082,2.509000062942505
2019-05-01,262.1971130371094,180.71734619140625,1281.4000244140625,97.69000244140625,14.800000190734863,2.510999917984009
2019-05-02,261.6310729980469,179.93301391601562,1269.699951171875,97.83000183105469,14.420000076293945,2.552000045776367
2019-05-03,264.1919250488281,182.80258178710938,1279.199951171875,97.5199966430664,12.869999885559082,2.5309998989105225
2019-05-06,263.1046142578125,181.6833953857422,1281.699951171875,97.5199966430664,15.4399995803833,2.5
2019-05-07,258.7109680175781,178.14430236816406,1283.5,97.62999725341797,19.31999969482422,2.447999954223633
2019-05-08,258.3515625,177.69468688964844,1279.4000244140625,97.62000274658203,19.399999618530273,2.4820001125335693
2019-05-09,257.5698547363281,176.7381591796875,1283.5,97.37000274658203,19.100000381469727,2.4570000171661377
2019-05-10,258.8636779785156,176.95811462402344,1285.699951171875,97.33000183105469,16.040000915527344,2.4549999237060547
2019-05-13,252.35830688476562,170.81723022460938,1300.0999755859375,97.31999969482422,20.549999237060547,2.4049999713897705
2019-05-14,254.6405792236328,172.6920166015625,1294.699951171875,97.52999877929688,18.059999465942383,2.4189999103546143
2019-05-15,256.1321105957031,175.13119506835938,1296.300048828125,97.56999969482422,16.440000534057617,2.378999948501587
2019-05-16,258.5042724609375,176.8911590576172,1285.0,97.83999633789062,15.289999961853027,2.4049999713897705
2019-05-17,256.8329772949219,175.08335876464844,1274.5,98.0,15.960000038146973,2.3929998874664307
2019-05-20,255.13487243652344,172.12770080566406,1276.0999755859375,97.93000030517578,16.309999465942383,2.4159998893737793
2019-05-21,257.4349670410156,173.9259490966797,1272.0,98.05999755859375,14.949999809265137,2.4260001182556152
2019-05-22,256.6442565917969,173.1511688232422,1273.5999755859375,98.11000061035156,14.75,2.3929998874664307
2019-05-23,253.5084991455078,170.5015869140625,1284.800048828125,97.8499984741211,16.920000076293945,2.2960000038146973
2019-05-24,254.08351135253906,170.41551208496094,1283.0,97.61000061035156,15.850000381469727,2.3239998817443848
2019-05-28,251.72030639648438,169.7746124267578,1276.5,97.95999908447266,17.5,2.2679998874664307
2019-05-29,250.03115844726562,168.3780517578125,1280.5999755859375,98.13999938964844,17.899999618530273,2.2360000610351562
2019-05-30,250.71409606933594,169.08595275878906,1287.0999755859375,98.13999938964844,17.299999237060547,2.2269999980926514
2019-05-31,247.33566284179688,166.38848876953125,1305.800048828125,97.75,18.709999084472656,2.1419999599456787
2019-06-03,246.7066650390625,162.7249298095703,1322.699951171875,97.13999938964844,18.860000610351562,2.0810000896453857
2019-06-04,252.06190490722656,167.30677795410156,1323.4000244140625,97.06999969482422,16.969999313354492,2.11899995803833
2019-06-05,254.24522399902344,168.55027770996094,1328.300048828125,97.37000274658203,16.09000015258789,2.122999906539917
2019-06-06,255.8985137939453,169.88943481445312,1337.5999755859375,97.02999877929688,15.930000305175781,2.124000072479248
