entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2026-03-09 02:00:00,LONG,66570.59,67236.29,tp,1,1.3e-05,0.008988,1,0.6068
2026-03-16 08:00:00,LONG,73171.57,73903.28,tp,4,5e-05,0.00895,1,0.5814
2026-03-18 04:00:00,SHORT,74138.4,73397.02,tp,7,8.7e-05,0.009014,1,0.5874
2026-03-18 05:00:00,SHORT,73913.03,73173.89,tp,6,7.5e-05,0.009026,1,0.6649
2026-03-18 06:00:00,SHORT,73917.05,73177.88,tp,5,6.3e-05,0.009039,1,0.6618
2026-03-20 01:00:00,SHORT,70368.59,70790.8,sl,2,2.5e-05,-0.006989,0,0.6105
2026-03-20 02:00:00,SHORT,70380.26,70802.54,sl,1,1.3e-05,-0.006977,0,0.6311
2026-03-20 03:00:00,SHORT,70694.56,71118.72,sl,5,6.3e-05,-0.007027,0,0.6484
2026-03-20 04:00:00,SHORT,70748.3,71172.79,sl,4,5e-05,-0.007014,0,0.6612
2026-03-20 05:00:00,SHORT,70570.94,70994.36,sl,3,3.8e-05,-0.007002,0,0.6472
2026-03-20 08:00:00,SHORT,71006.71,70296.64,tp,2,2.5e-05,0.009076,1,0.7246
2026-03-20 09:00:00,SHORT,70548.51,69843.02,tp,4,5e-05,0.009051,1,0.7218
2026-03-20 10:00:00,SHORT,70576.37,69870.61,tp,3,3.8e-05,0.009064,1,0.6569
2026-03-20 11:00:00,SHORT,70443.47,69739.04,tp,3,3.8e-05,0.009064,1,0.6973
2026-03-20 13:00:00,SHORT,69828.91,70247.88,sl,1,1.3e-05,-0.006977,0,0.5993
2026-03-23 08:00:00,LONG,68468.48,68057.67,sl,1,1.3e-05,-0.007012,0,0.5981
2026-03-26 00:00:00,SHORT,71263.62,70550.98,tp,5,6.3e-05,0.009039,1,0.6521
2026-03-26 01:00:00,SHORT,71216.48,70504.32,tp,4,5e-05,0.009051,1,0.6941
2026-03-26 02:00:00,SHORT,70857.56,70148.99,tp,3,3.8e-05,0.009064,1,0.6588
2026-03-31 00:00:00,LONG,67242.35,67914.78,tp,1,1.3e-05,0.008988,1,0.6147
2026-03-31 01:00:00,LONG,67972.51,67564.67,sl,3,3.8e-05,-0.007038,0,0.5877
2026-03-31 02:00:00,LONG,67977.4,67569.54,sl,2,2.5e-05,-0.007025,0,0.6204
2026-03-31 03:00:00,LONG,67738.59,67332.16,sl,4,5e-05,-0.00705,0,0.6204
2026-03-31 04:00:00,LONG,67577.78,67172.32,sl,3,3.8e-05,-0.007037,0,0.7102
2026-03-31 05:00:00,LONG,67715.52,67309.23,sl,2,2.5e-05,-0.007025,0,0.6206
2026-03-31 07:00:00,LONG,67401.37,66996.97,sl,1,1.3e-05,-0.007013,0,0.7101
2026-03-31 08:00:00,LONG,66811.72,66410.85,sl,1,1.3e-05,-0.007012,0,0.7276
2026-03-31 09:00:00,LONG,66158.05,66819.63,tp,2,2.5e-05,0.008975,1,0.6395
2026-03-31 10:00:00,LONG,66396.56,67060.53,tp,3,3.8e-05,0.008963,1,0.6276
2026-03-31 11:00:00,LONG,66719.03,67386.22,tp,2,2.5e-05,0.008975,1,0.6114
2026-03-31 12:00:00,LONG,66686.59,67353.45,tp,1,1.3e-05,0.008988,1,0.6364
2026-03-31 13:00:00,LONG,67335.94,66931.93,sl,1,1.3e-05,-0.007013,0,0.5948
2026-03-31 14:00:00,LONG,66620.74,67286.95,tp,2,2.5e-05,0.008975,1,0.6571
2026-03-31 15:00:00,LONG,66770.17,67437.87,tp,1,1.3e-05,0.008988,1,0.6535
2026-03-31 16:00:00,LONG,67699.66,68376.66,tp,1,1.3e-05,0.008988,1,0.5859
2026-03-31 17:00:00,LONG,67560.51,68236.12,tp,3,3.8e-05,0.008963,1,0.586
2026-03-31 19:00:00,LONG,67872.72,68551.45,tp,10,0.000125,0.008875,1,0.5879
2026-04-01 02:00:00,LONG,67702.72,68379.75,tp,2,2.5e-05,0.008975,1,0.6575
2026-04-08 02:00:00,LONG,71400.62,72114.63,tp,10,0.000125,0.008875,1,0.6219
2026-04-08 03:00:00,LONG,71323.03,72036.26,tp,9,0.000113,0.008888,1,0.6057
