symbol,interval,strategy,전체_수익률%,전체_CAGR%,MDD%,Sharpe,손익비,거래수,노출%,학습_CAGR%,홀드아웃_CAGR%,BH_수익률%,BH_CAGR%,BH_MDD%,BH_Sharpe,BH대비_CAGR차
ETHUSDT,1d,"MA교차(50,200)",-65.44398025226205,-11.181098502338694,-93.06123413021773,0.26537664711922593,1.0428028003571639,18,93.8856618771018,4.500145758916441,-29.51361171524203,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-33.689547270651666
ETHUSDT,1d,"MA교차(5,20)",117.52965825778281,9.059264189657812,-91.59317409764223,0.5320656630992693,1.0855043359210934,183,99.38856618771018,43.83734765589653,-32.20407451176497,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-13.44918457865516
ETHUSDT,1d,"MA교차(20,50)",631.8086275629842,24.869174902114246,-89.69618862313196,0.694151615457323,1.1133057640325696,62,98.47141546927544,43.400488270591396,0.08959529181062909,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,2.360726133801272
ETHUSDT,1d,"Supertrend(10,3.0)",2275.2936368727737,42.40056550445039,-70.75111350437477,0.8410773494320581,1.1384158370284536,74,99.44970956893916,75.33559794946292,1.2089285716559761,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,19.89211673613742
ETHUSDT,1d,"Supertrend(14,2.5)",2530.0060923014985,44.02843669984544,-76.94142328706435,0.8529065149711978,1.1405020724083965,90,99.44970956893916,98.86898975591106,-15.490998066311922,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,21.51998793153247
ETHUSDT,1d,"Supertrend(7,2.0)",1339.51898391469,34.66093427889023,-78.97010934004943,0.7743199476666804,1.1268019704525896,130,99.51085295016814,82.63024475999342,-14.96798030237294,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,12.152485510577261
ETHUSDT,1d,"Supertrend(20,3.0)",1654.88858975739,37.670745726711985,-83.16895360088233,0.8010733371967702,1.132205508511138,70,97.9516967288291,86.97813478232699,-12.56027297974115,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,15.162296958399013
BNBUSDT,1d,"Donchian(20,10)",612.4307410577071,25.19035402400931,-87.67757495041364,0.6655795203117338,1.1534898959211703,152,68.77742946708464,60.38942382514358,-13.88190306953323,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-71.75334936717015
BNBUSDT,1d,"Donchian(55,20)",345.8316808321327,18.652851038258934,-80.99418105991343,0.5936349199813259,1.1282005252810767,68,69.3103448275862,31.46444458549651,4.198780163601867,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-78.29085235292052
BNBUSDT,1d,"Donchian(20,5)",-2.162849957480839,-0.24987618132128464,-88.1237224899984,0.36798893313905107,1.0992553438955586,210,47.80564263322884,8.50423054666769,-14.119439039396875,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-97.19357957250074
BNBUSDT,1d,"Donchian(40,15)",807.9600536906481,28.712894447718362,-88.49235038512445,0.6954870344216185,1.1643996625937922,96,65.70532915360502,51.09118680746396,4.85396471263051,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-68.2308089434611
BNBUSDT,1d,"Donchian(100,25)",660.2161620233036,26.12375087404679,-80.31839473066765,0.6667351077706867,1.1641260802409434,45,53.76175548589342,32.662974332744945,21.524278119996644,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-70.81995251713266
BNBUSDT,1d,"MA교차(10,50)",385.23560402744107,19.808255987110446,-93.76535279260617,0.6385412134892187,1.1179424103023876,78,98.43260188087774,45.7592764351713,-4.697360185804622,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-77.13544740406901
BNBUSDT,1d,"MA교차(20,100)",827.6295300796186,29.02891889553343,-86.47382676892911,0.7174023610879552,1.1290196962724655,32,96.86520376175548,24.916786203625495,41.904065101024024,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-67.91478449564603
BNBUSDT,1d,"MA교차(50,200)",62.478843106876106,5.71080624203093,-91.41040216840152,0.46973247991837974,1.0844137650382546,24,93.73040752351098,0.08856493246636177,31.70833852453454,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-91.23289714914853
BNBUSDT,1d,"MA교차(5,20)",6021.155997636631,60.121479807385356,-88.4251646966409,0.9449615369328052,1.1807576377486273,191,99.37304075235109,120.55212446064183,-1.5013506419341849,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-36.8222235837941
BNBUSDT,1d,"MA교차(20,50)",711.8586710746112,27.07578705550102,-89.3188104629051,0.6990851113027852,1.1298075872401778,66,98.43260188087774,57.5632906534038,-4.94665919775602,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-69.86791633567844
BNBUSDT,1d,"Supertrend(10,3.0)",3431.9520099856495,50.357103144126405,-89.92856351335344,0.8789534120538833,1.1674019256267731,72,99.21630094043887,95.60384848314301,-0.31285529158584513,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-46.586600247053056
BNBUSDT,1d,"Supertrend(14,2.5)",-28.43716301741701,-3.7560718413057415,-91.08413816081584,0.42596119984659686,1.0778866319571572,100,99.15360501567399,13.120891885006136,-27.073400266255188,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-100.6997752324852
BNBUSDT,1d,"Supertrend(7,2.0)",-93.64230629609165,-27.041908417333936,-98.35137911784956,0.14179031132217423,1.0252041007761497,151,99.40438871473354,-29.908009856507533,-23.60215535586889,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-123.9856118085134
BNBUSDT,1d,"Supertrend(20,3.0)",205.15839865104647,13.615979859730487,-92.94699162287465,0.5918799387426096,1.1099105668072786,74,99.12225705329153,38.62462465153993,-12.988540118545721,37265.3723742839,96.94370339117945,-80.01769911504425,1.1650174478057906,-83.32772353144897
SOLUSDT,1d,"Donchian(20,10)",134.3642189809758,15.31955209929119,-83.9607079103832,0.6650861500158645,1.1278490147546156,108,73.03988995873453,102.10248005228033,-20.701999618974988,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-52.546632640069355
SOLUSDT,1d,"Donchian(55,20)",1553.978626481946,59.928686022379885,-79.65299170767219,0.967669952901859,1.2118316014900994,51,57.54241173773499,301.88854347060925,-8.410956642933865,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-7.937498716980662
SOLUSDT,1d,"Donchian(20,5)",396.3679759351338,30.751246227339514,-77.31318757985419,0.7666682953668371,1.1730053815094694,146,55.47913801008711,103.38413017927665,-8.053980463353106,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-37.114938512021034
SOLUSDT,1d,"Donchian(40,15)",210.36248149805962,20.869434311403225,-85.31665144708072,0.6616599036730595,1.1392370857703704,74,60.61439706556625,144.7048438492395,-22.00486553292795,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-46.99675042795732
SOLUSDT,1d,"Donchian(100,25)",802.5515482583994,44.51152010285717,-71.25003979131405,0.8555448069499354,1.2144471374253076,32,43.558000917010546,206.87709250677125,2.453315717695559,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-23.354664636503376
SOLUSDT,1d,"MA교차(10,50)",988.2298434413226,49.10760165087715,-90.08059496158579,0.9182624061626803,1.1511037537058197,48,97.70747363594681,214.45952376010302,-7.275607963466646,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-18.758583088483395
SOLUSDT,1d,"MA교차(20,100)",35.28435071697833,5.187676041801059,-96.52577254478074,0.5929899317560028,1.0962476342700593,31,95.41494727189362,222.7436377303973,-26.27432914195843,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-62.67850869755949
SOLUSDT,1d,"MA교차(50,200)",114.26717781853041,13.602239326363218,-95.25087203399791,0.6260598248064007,1.1031615128568608,12,90.82989454378725,298.26600091013296,-8.527636525688653,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-54.26394541299733
SOLUSDT,1d,"MA교차(5,20)",24.83652247853103,3.78227902742434,-94.71193206612864,0.6136864032203206,1.0988771805194988,124,99.08298945437872,-15.0514973435953,10.525939123007477,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-64.08390571193621
SOLUSDT,1d,"MA교차(20,50)",-23.5180774820138,-4.387857661537097,-93.0078450671992,0.5192997915363777,1.0827899891924964,42,97.70747363594681,129.39741185839702,-31.475100686689885,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-72.25404240089765
SOLUSDT,1d,"Supertrend(10,3.0)",1112.3974499796166,51.82832044538086,-90.39544582873548,0.9418363244073642,1.1557550417822053,55,99.08298945437872,274.8344861434375,-22.50077705780422,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-16.037864293979688
SOLUSDT,1d,"Supertrend(14,2.5)",384.06514769506737,30.203207743558913,-90.63371638153039,0.8093060394576465,1.1324259031791026,69,99.08298945437872,157.61469926605164,-24.65903584946546,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-37.662976995801635
SOLUSDT,1d,"Supertrend(7,2.0)",457.31983946295554,33.31035650314627,-92.33037970025994,0.8297452269037829,1.135903503018577,94,99.1288399816598,126.87520300376866,-12.673966254604252,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,-34.55582823621428
SOLUSDT,1d,"Supertrend(20,3.0)",2922.7164271848733,76.90945967740616,-90.37580410306899,1.074952636707692,1.1795951545119,50,98.8537368179734,349.22554338932946,-6.765115101229757,2109.1859936334695,67.86618473936055,-96.26992725584275,1.0198230123860745,9.04327493804562
XRPUSDT,1d,"Donchian(20,10)",-70.6526718035843,-13.80987741640649,-85.80434283682449,0.2375370072033674,1.0463321791665094,130,73.69644636333445,-10.217358224870644,-18.052129610933353,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-15.97505239010497
XRPUSDT,1d,"Donchian(55,20)",-92.09421881844098,-26.479837370216874,-98.48070422139068,-0.039031322911018386,0.9905370289873778,68,47.42610428429093,-45.069555780866686,10.656969012468398,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-28.645012343915354
XRPUSDT,1d,"Donchian(20,5)",-48.15788681327604,-7.655036730575338,-90.63407459730487,0.27354245099600033,1.0648996991378779,180,51.24543341082697,-6.663693651140445,-11.262977832468124,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-9.820211704273818
XRPUSDT,1d,"Donchian(40,15)",-74.84825008151049,-15.406777755107704,-96.36662927453,0.1827097865573277,1.0421060894680203,87,57.55562935901693,-37.946767354833064,29.494569597127086,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-17.571952728806185
XRPUSDT,1d,"Donchian(100,25)",-95.98600373082952,-32.27912700383481,-98.70310166011808,-0.22448597623499497,0.9380659064263095,43,35.5695782132182,-50.74853120099352,5.2438436861649285,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-34.444301977533286
XRPUSDT,1d,"MA교차(10,50)",-99.05305442052511,-43.15586048697554,-99.78398523715762,-0.0036611294177064345,0.9993519834234112,83,98.33942211889737,-43.28082067534545,-41.14812838831615,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-45.32103546067402
XRPUSDT,1d,"MA교차(20,100)",-99.99656014311904,-71.23067515741532,-99.9986475004345,-0.6869401150029498,0.8841499809586469,49,96.67884423779475,-78.35857386925164,-52.89006787144335,19.328014383638624,2.1651749736984804,-84.99224634470536,0.5032184394576379,-73.39585013111379
