tf,side,H,cond,feat,n_tr,wr_tr,n_ho,wr_ho,base_ho,edge,wl,mean,mfe_med,mfe_p90
30m,LONG,3,atr_pct >= 1.37,atr_pct,10970,49.13400182315406,518,49.42084942084942,37.98868422172119,11.432165199128228,38.85980040982288,0.06445851,0.870547890663147,2.416088581085205
5m,LONG,20,dd_from_high <= -6.185,dd_from_high,6582,59.632330598602245,268,53.35820895522389,38.478882826542446,14.879326128681441,38.68751338173516,0.32404566,1.5630645751953125,4.650165557861328
5m,LONG,10,range_pct >= 1.556,range_pct,6583,51.92161628436883,274,52.919708029197075,33.6224958256375,19.297212203559575,38.42865766494181,0.25537586,1.2555372714996338,2.936140298843384
5m,LONG,3,range_pct >= 1.556,range_pct,6583,47.68342700896248,274,52.55474452554745,23.474401423679303,29.080343101868145,38.08819753516512,0.064827055,0.8210045695304871,2.107469320297241
15m,LONG,5,range_pct >= 2.058,range_pct,4389,52.472089314194584,215,54.418604651162795,36.53351200731713,17.885092643845667,38.08736655805252,0.18997748,1.1890177726745605,3.4869887828826904
5m,LONG,5,dd_from_high <= -6.185,dd_from_high,6582,53.16013369796414,268,52.23880597014925,28.071780037152056,24.167025932997195,37.64463935302313,0.20751047,0.70586758852005,2.6036248207092285
5m,LONG,10,dd_from_high <= -6.185,dd_from_high,6582,57.27742327560013,268,52.23880597014925,33.6224958256375,18.61631014451175,37.64463935302313,0.28428936,1.1930283308029175,3.221261501312256
5m,LONG,10,macd_hist >= 0.2455,macd_hist,6583,44.38705757253531,442,48.86877828054298,33.6224958256375,15.246282454905483,37.51260732465478,0.10011153,0.754745602607727,2.6688895225524902
5m,LONG,10,body_pct >= 0.7432,body_pct,6583,45.921312471517545,504,47.22222222222222,33.6224958256375,13.599726396584721,36.638819391895915,0.02511264,0.7535760402679443,2.1095285415649414
5m,LONG,10,cc_ret >= 0.7528,cc_ret,6583,45.617499620233936,481,47.4012474012474,33.6224958256375,13.778751575609903,36.57194651058079,0.02522593,0.7657491564750671,2.1099743843078613
30m,LONG,1,dd_from_high <= -8.007,dd_from_high,5483,46.98157942732081,327,48.318042813455655,30.085502807554874,18.23254000590078,35.2867697878965,0.00951129,0.5578627586364746,1.7314791679382324
5m,LONG,3,dd_from_high <= -6.185,dd_from_high,6582,50.45578851412944,268,49.62686567164179,23.474401423679303,26.152464247962484,35.23708988922509,0.11463813,0.5620054006576538,2.2049176692962646
15m,LONG,3,range_pct >= 2.058,range_pct,4389,49.98860788334473,215,50.697674418604656,32.84553537244225,17.852139046162407,34.689908587598865,0.09573222,0.993098795413971,2.851449489593506
5m,LONG,5,macd_hist >= 0.2455,macd_hist,6583,42.76165881816801,442,45.248868778280546,28.071780037152056,17.17708874112849,34.12766232940675,0.0094186645,0.6120129227638245,1.8363103866577148
30m,LONG,1,macd_hist <= -0.4256,macd_hist,2195,50.52391799544419,215,48.837209302325576,30.085502807554874,18.7517064947707,33.02096636377031,0.035932627,0.5230674147605896,1.5265986919403076
5m,LONG,1,bb_width >= 6.751,bb_width,6582,42.38833181403829,267,46.81647940074906,13.171421684013499,33.645057716735565,32.663167158252826,0.049201027,0.40582510828971863,1.241029143333435
