side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
LONG,vol_ratio >= 2.228,vol_ratio,>=,2.228441999231217,3216,49.68905472636816,1.089748169343217,1743,51.57773952954676,7.355383034078486,46.445303824885606,2.251491471226342,5,44.222356495468276
LONG,vs_ma200 <= -33.93,vs_ma200,<=,-33.926647902133126,11245,50.17341040462428,1.5633646864812292,9527,48.630208880025194,5.638063864919452,46.43494017233577,0.36375958077840503,10,42.99214501510574
LONG,streak <= -2,streak,<=,-2.0,14970,49.719438877755515,1.1201323207305691,11335,48.42523158359065,4.202875088122376,46.41270732432087,0.29618483888090674,5,44.222356495468276
LONG,streak <= -2,streak,<=,-2.0,14970,49.719438877755515,1.1201323207305691,11335,48.42523158359065,4.202875088122376,46.41270732432087,0.29618483888090674,5,44.222356495468276
LONG,range_pct >= 12.12,range_pct,>=,12.121199267056012,13037,50.54843905806551,1.949132501040566,4313,49.524692789241826,5.30233629377355,46.26282549182342,1.1772033850399994,5,44.222356495468276
LONG,vol_ratio >= 2.228,vol_ratio,>=,2.228441999231217,3216,49.440298507462686,1.2229992530673002,1744,51.37614678899083,6.008170958175121,46.24668010143255,1.9889055920119056,3,45.36797583081571
LONG,rsi14 <= 17.64,rsi14,<=,17.644959422436365,1291,56.54531371030209,8.48449937505616,861,53.542392566782816,8.232422778263178,46.24208989260406,0.4239357062575458,1,45.30996978851964
LONG,vs_ma200 <= -39.24,vs_ma200,<=,-39.23816196110317,8434,49.537585961584064,1.3202867071886786,6508,48.64781807006761,3.2798422392518987,45.99351802856557,0.2623869890161656,3,45.36797583081571
LONG,range_pct >= 13.8,range_pct,>=,13.804249667126793,9778,50.67498465943956,2.457685405044174,2878,49.89576094510076,4.527785114285052,45.90490891617654,1.2569424226696113,3,45.36797583081571
LONG,dd_from_high >= 0,dd_from_high,>=,0.0,4016,52.938247011952186,4.33894045492724,1674,51.13500597371565,6.912649478247374,45.902239172594626,2.0851806178465684,5,44.222356495468276
LONG,dd_from_high >= 0,dd_from_high,>=,0.0,4016,52.938247011952186,4.33894045492724,1674,51.13500597371565,6.912649478247374,45.902239172594626,2.0851806178465684,5,44.222356495468276
