direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
LONG,atr7 > 0.01837 AND vol_ratio_24 ≤ 1.16109 AND vol_288 > 0.02121 AND gold_ret5d ≤ 0.00775,93.2,251,1.16,80.5,ADAUSDT,4h
SHORT,vol_ratio_12 > 0.63386 AND vol_ratio_48 ≤ 1.67297 AND atr28 > 0.02079 AND gold_ret5d ≤ 0.00365 AND bb_width_20 > 0.05536,93.0,143,1.25,74.4,BTCUSDT,4h
SHORT,atr > 0.0241 AND inside_bar ≤ 0.5 AND adx ≤ 0.21266 AND session_europe > 0.5,92.7,41,1.18,78.3,XRPUSDT,4h
LONG,atr7 ≤ 0.02182 AND vs_sma576 > -0.05787 AND vol_ratio_48 > 0.45455 AND hl_vol ≤ 0.02189,92.6,94,1.1,84.1,SOLUSDT,4h
SHORT,htf_4h_vs_sma96 ≤ -0.08082 AND rsi_24_slope ≤ 7.81161 AND ret_3 ≤ -0.0024 AND stoch_k_24 ≤ 0.18727,92.6,27,1.43,64.6,BTCUSDT,1h
SHORT,atr7 > 0.03319 AND nasdaq_ret1d ≤ 0.0071 AND adx_slope > -0.05151 AND atr_ratio ≤ 0.9039 AND roc_14 > -0.04912,92.5,53,1.12,82.5,SOLUSDT,4h
SHORT,vol_24 ≤ 0.01782 AND ret_1 > 0.01752 AND body_ratio > 0.55172 AND vs_sma24 > 0.06555,92.3,78,1.36,67.9,SOLUSDT,1h
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 > 0.21479 AND obv_slope ≤ 0.09815 AND hour_cos > -0.37941 AND htf_4h_vol_ratio_24 > 1.24531,92.3,26,1.33,69.3,XRPUSDT,1h
SHORT,atr > 0.02669 AND vol_ratio_12 > 0.4663 AND atr7 ≤ 0.0324 AND dxy_ret5d > -0.00349 AND sp500_ret20d > -0.01039,92.1,229,1.13,81.5,ADAUSDT,4h
LONG,atr7 > 0.02809 AND lower_shadow ≤ 0.48454 AND fractal_low ≤ 0.5 AND upper_shadow > 0.08343 AND bb_width_20 > 0.07996,91.5,354,1.18,77.6,XRPUSDT,4h
LONG,htf_1h_atr > 0.03925 AND inside_bar ≤ 0.5 AND roc_21 > -0.08053 AND vs_sma48 > -0.04171 AND ret_accel_5 > 0.01528,91.5,213,1.28,71.3,SOLUSDT,5m
