side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
SHORT,range_pct <= 1.122,range_pct,<=,1.1219147344801823,39085,59.06613790456697,5.399813235456001,28238,56.51604221262129,1.8393310979292679,55.244727476853626,0.23412751057137926,3,45.32328888530798
SHORT,vs_ma50 >= -7.443,vs_ma50,>=,-7.442938500064922,330299,54.34621358223912,0.6798889131281527,212836,55.70674134075062,1.0300302260585994,55.24366938710236,0.2527148438490056,3,45.32328888530798
SHORT,vol_ratio <= 0.4968,vol_ratio,<=,0.49680688385215765,58495,55.05598769125566,2.363460551063099,42417,56.25574651672678,1.6668571802243406,55.21839901386939,0.4024248842452969,5,45.41111066349756
SHORT,range_pct <= 1.324,range_pct,<=,1.3239483827719105,58627,58.415064731267165,4.748740062156195,43959,56.23194340180623,1.5552322871142081,55.21294069365683,0.25183952762570777,3,45.32328888530798
SHORT,dd_from_high >= -17.06,dd_from_high,>=,-17.05525692084007,310501,54.43525141625953,0.7689267471485621,207344,55.65147773747975,0.9747666227877332,55.18225233468986,0.2606317775954302,3,45.32328888530798
SHORT,vs_ma200 >= -12.93,vs_ma200,>=,-12.927631556281137,305349,54.257259725756434,0.5909350566454634,196501,55.65722311845741,0.9805120037653907,55.17521842602873,0.2514211181452737,3,45.32328888530798
SHORT,vs_ma20 >= -3.467,vs_ma20,>=,-3.4669655371275674,311973,53.75593400710959,1.0634068669170276,200302,55.63549040948168,1.046601072979243,55.158063857177275,0.27148221537039435,5,45.41111066349756
SHORT,range_pct <= 1.509,range_pct,<=,1.5087903437417978,78169,57.815758165001476,4.149433495890506,60022,56.014461364166465,1.3377502494744462,55.14227708187151,0.2553966133559421,3,45.32328888530798
SHORT,vs_ma200 >= -15.82,vs_ma200,>=,-15.81901802323318,324434,53.21143899837871,0.5189118581861507,211826,55.59043743449813,1.0015480979956877,55.12614843597336,0.30315232547537585,5,45.41111066349756
SHORT,vs_ma20 >= -4.515,vs_ma20,>=,-4.514784065827017,331472,54.55453250953324,0.8882078404222682,215037,55.58485283927882,0.9081417245867982,55.12404132169595,0.2427943059298062,3,45.32328888530798
SHORT,vs_ma200 >= -15.82,vs_ma200,>=,-15.81901802323318,324434,54.20424493117244,0.5379202620614691,211912,55.58675299180792,0.9100418771159013,55.12255475815733,0.2624854789309481,3,45.32328888530798
SHORT,vs_ma50 >= -5.782,vs_ma50,>=,-5.782294666274979,310869,53.38647468869524,0.6939475485026776,197433,55.57176358562145,0.982874249119007,55.090813682700514,0.279193150535773,5,45.41111066349756
SHORT,vol_ratio <= 0.5491,vol_ratio,<=,0.5490942584109532,77994,54.80806215862759,2.1155350184350326,55312,55.993274515475846,1.4043851789734063,55.08460579844354,0.3919949452501993,5,45.41111066349756
SHORT,vs_ma50 >= -7.443,vs_ma50,>=,-7.442938500064922,330299,53.337733387022055,0.6452062468294955,212748,55.54693816158084,0.9580488250784001,55.083615653690856,0.2923385899613672,5,45.41111066349756
SHORT,vol_ratio <= 0.2871,vol_ratio,<=,0.28707584598484137,7800,56.41025641025641,2.7439317411454383,5536,57.947976878612714,3.2712657639206952,55.0757076085451,0.429009283919498,3,45.32328888530798
SHORT,vs_ma50 >= -9.776,vs_ma50,>=,-9.775923600356691,349728,54.279039710861014,0.6127150417500431,227908,55.51889358864103,0.8421824739490091,55.07123451578417,0.2593227058013755,3,45.32328888530798
SHORT,dd_from_high >= -19.63,dd_from_high,>=,-19.631291405130565,329908,54.36273142815573,0.6964067590447627,220906,55.51908956750835,0.8423784528163338,55.06438479463854,0.26460146464965556,3,45.32328888530798
SHORT,rsi14 >= 35.09,rsi14,>=,35.087719212065295,312157,53.26294140448557,0.5704142642930066,193358,55.5384313035923,0.949541967089857,55.052401574040246,0.2606434308424433,5,45.41111066349756
SHORT,dd_from_high >= -17.06,dd_from_high,>=,-17.05525692084007,310501,53.457476787514366,0.7649496473218065,207257,55.50307106635722,0.9141817298547821,55.03360312403712,0.29824720000464733,5,45.41111066349756
SHORT,upper_wick >= 0.5758,upper_wick,>=,0.5757575757575718,39089,53.472844022615064,0.780316882422504,24054,56.393946952689774,1.8050576161873337,55.015841171787386,0.3361132751063258,5,45.41111066349756
SHORT,upper_wick >= 0.459,upper_wick,>=,0.4590163934426194,78169,53.4508564776318,0.7583293374392426,48363,55.98701486673697,1.3981255302345303,55.01511789698236,0.2928243894252498,5,45.41111066349756
SHORT,vs_ma20 >= -4.515,vs_ma20,>=,-4.514784065827017,331472,53.603622628759,0.9110954885664384,214945,55.46069924864501,0.8718099121425666,54.99967184255905,0.27670030835238163,5,45.41111066349756
SHORT,rsi14 >= 35.09,rsi14,>=,35.087719212065295,312157,54.21919098402407,0.5528663149130963,193441,55.478414607037806,0.8017034923457871,54.992430014342645,0.22466583768097653,3,45.32328888530798
SHORT,bb_pos >= 0.2025,bb_pos,>=,0.20252878379610742,311973,54.704413522965126,1.0380888538541555,192897,55.4430602860594,0.7663491713673807,54.956355615902375,0.20894113768805578,3,45.32328888530798
SHORT,vol_ratio <= 0.4379,vol_ratio,<=,0.4378919970565004,38997,55.37349026848219,2.908933070030649,28815,56.2137775464168,2.066011361829922,54.95450264012467,0.7041208978160222,10,45.85223381541312
SHORT,rsi14 >= 31.9,rsi14,>=,31.902903139988815,331667,53.167182746550004,0.4746556063574445,206178,55.424439076914126,0.8355497404116861,54.95366837714661,0.2697198498794174,5,45.41111066349756
SHORT,upper_wick >= 0.6667,upper_wick,>=,0.6666666666666666,19916,53.22855995179755,0.53603281160499,12416,56.84600515463918,2.2571158181367394,54.927502461879776,0.32602181028964794,5,45.41111066349756
