entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2023-10-31,LONG,34657.09,34830.38,tp,0.004,1,0.8707
2023-11-01,SHORT,35403.72,35226.7,tp,0.004025,1,0.9157
2023-11-02,SHORT,34924.12,34749.5,tp,0.004025,1,0.879
2023-11-03,LONG,34734.14,34907.81,tp,0.004,1,0.8725
2023-11-04,SHORT,35044.54,34869.32,tp,0.004025,1,0.8619
2023-11-05,SHORT,34994.37,34819.4,tp,0.004025,1,0.8721
2023-11-06,LONG,35063.61,35238.93,tp,0.004,1,0.8316
2023-11-07,LONG,35416.82,35593.9,tp,0.004,1,0.8659
2023-11-08,LONG,35642.53,35820.75,tp,0.004,1,0.8781
2023-11-09,SHORT,36682.74,36499.33,tp,0.004025,1,0.9306
2023-11-10,SHORT,37282.98,37096.56,tp,0.004025,1,0.884
2023-11-11,SHORT,37111.44,36925.88,tp,0.004025,1,0.839
2023-11-12,SHORT,37045.6,36860.37,tp,0.004025,1,0.8921
2023-11-13,SHORT,36444.7,36262.48,tp,0.004025,1,0.9189
2023-11-14,SHORT,35533.41,35640.01,sl,-0.003991,0,0.9257
2023-11-15,SHORT,37839.27,37650.07,tp,0.004025,1,0.9292
2023-11-16,SHORT,36145.43,35964.7,tp,0.004025,1,0.9221
2023-11-17,SHORT,36595.61,36412.63,tp,0.004025,1,0.8988
2023-11-18,SHORT,36549.82,36659.47,sl,-0.003991,0,0.8843
2023-11-19,SHORT,37341.18,37154.47,tp,0.004025,1,0.8941
2023-11-20,SHORT,37430.06,37242.91,tp,0.004025,1,0.9032
2023-11-21,LONG,35759.52,35938.32,tp,0.004,1,0.8796
2023-11-22,SHORT,37389.64,37202.69,tp,0.004025,1,0.898
2023-11-23,LONG,37312.93,37499.49,tp,0.004,1,0.8108
2023-11-24,LONG,37732.43,37619.23,sl,-0.004,0,0.7125
2023-11-25,SHORT,37761.78,37572.97,tp,0.004025,1,0.8153
2023-11-26,SHORT,37428.71,37241.56,tp,0.004025,1,0.8925
2023-11-27,LONG,37261.32,37447.63,tp,0.004,1,0.8289
2023-11-28,LONG,37837.78,38026.97,tp,0.004,1,0.842
2023-11-29,LONG,37873.57,38062.94,tp,0.004,1,0.8426
2023-11-30,LONG,37742.82,37931.54,tp,0.004,1,0.8128
2023-12-01,LONG,38701.86,38895.37,tp,0.004,1,0.8348
2023-12-02,LONG,39470.08,39667.43,tp,0.004,1,0.85
2023-12-03,LONG,39992.25,40192.21,tp,0.004,1,0.8302
2023-12-04,LONG,42012.1,42222.16,tp,0.004,1,0.8945
2023-12-05,LONG,44095.36,43963.07,sl,-0.004,0,0.8965
2023-12-06,LONG,43784.57,44003.49,tp,0.004,1,0.8568
2023-12-07,LONG,43294.78,43511.25,tp,0.004,1,0.8752
2023-12-08,SHORT,44148.9,43928.16,tp,0.004025,1,0.8353
2023-12-09,LONG,43735.46,43954.13,tp,0.004,1,0.8671
2023-12-10,SHORT,43767.62,43548.78,tp,0.004025,1,0.8279
2023-12-11,SHORT,41232.77,41026.61,tp,0.004025,1,0.9439
2023-12-12,SHORT,41471.64,41264.29,tp,0.004025,1,0.8973
2023-12-13,SHORT,42847.6,42633.36,tp,0.004025,1,0.942
2023-12-14,SHORT,43000.75,42785.75,tp,0.004025,1,0.8994
2023-12-15,SHORT,41919.33,41709.73,tp,0.004025,1,0.8933
2023-12-16,SHORT,42256.89,42045.61,tp,0.004025,1,0.8648
2023-12-17,SHORT,41353.96,41147.19,tp,0.004025,1,0.8985
2023-12-18,SHORT,42636.47,42423.29,tp,0.004025,1,0.927
2023-12-19,LONG,42297.13,42508.61,tp,0.004,1,0.8645
2023-12-20,SHORT,43647.1,43428.86,tp,0.004025,1,0.9389
2023-12-21,SHORT,43839.87,43620.67,tp,0.004025,1,0.8976
2023-12-22,SHORT,43947.06,43727.32,tp,0.004025,1,0.8499
2023-12-23,LONG,43724.01,43942.63,tp,0.004,1,0.8623
2023-12-24,SHORT,42970.0,42755.15,tp,0.004025,1,0.9077
2023-12-25,SHORT,43554.34,43336.57,tp,0.004025,1,0.8774
2023-12-26,SHORT,42487.68,42275.24,tp,0.004025,1,0.9202
2023-12-27,SHORT,43407.14,43190.1,tp,0.004025,1,0.8982
2023-12-28,SHORT,42542.48,42329.77,tp,0.004025,1,0.8559
2023-12-29,LONG,42087.98,42298.42,tp,0.004,1,0.857
2023-12-30,LONG,42161.35,42372.16,tp,0.004,1,0.7943
2023-12-31,LONG,42304.72,42516.25,tp,0.004,1,0.7681
2024-01-01,LONG,44201.64,44422.65,tp,0.004,1,0.8049
2024-01-02,LONG,44969.38,45194.23,tp,0.004,1,0.8903
2024-01-03,SHORT,42823.81,42952.28,sl,-0.003991,0,0.927
2024-01-04,SHORT,44129.02,43908.38,tp,0.004025,1,0.9313
2024-01-05,SHORT,44123.04,43902.42,tp,0.004025,1,0.8671
2024-01-06,SHORT,43946.34,43726.6,tp,0.004025,1,0.8178
2024-01-07,SHORT,43907.06,43687.52,tp,0.004025,1,0.79
2024-01-08,LONG,46974.52,47209.39,tp,0.004,1,0.8729
2024-01-09,SHORT,46086.94,45856.51,tp,0.004025,1,0.9245
2024-01-10,SHORT,46630.66,46397.51,tp,0.004025,1,0.9031
2024-01-11,LONG,46362.33,46223.24,sl,-0.004,0,0.8975
2024-01-12,SHORT,42761.34,42547.53,tp,0.004025,1,0.9408
2024-01-13,LONG,42869.41,42740.81,sl,-0.004,0,0.8605
2024-01-14,LONG,41753.22,41961.98,tp,0.004,1,0.8923
2024-01-15,SHORT,42489.84,42277.4,tp,0.004025,1,0.9214
2024-01-16,SHORT,43116.38,42900.8,tp,0.004025,1,0.9137
2024-01-17,SHORT,42754.71,42540.94,tp,0.004025,1,0.8768
2024-01-18,LONG,41348.16,41554.9,tp,0.004,1,0.8756
2024-01-19,LONG,41679.86,41554.82,sl,-0.004,0,0.8094
2024-01-20,LONG,41716.89,41591.74,sl,-0.004,0,0.7622
2024-01-21,LONG,41601.12,41476.32,sl,-0.004,0,0.8427
