feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
size_vs_atr,"(1.336, 1.694]",6458,1.8366144719265574,4010,2.3048061037584744,42.04488778054863,40.52534402739571,43.579659020058884,1.7611033668377691,[A]캔들,True,2.3048061037584744
size_vs_atr,"(1.694, 10.556]",6459,4.690928245593536,3340,4.359351679520629,43.1437125748503,41.472839538289435,44.830339416120374,3.815648942599924,[A]캔들,True,4.359351679520629
rsi14,"(-0.001, 27.484]",6454,-2.7525944923145844,4271,1.065911318473629,44.08803558885507,42.60497610925531,45.58172067969705,0.5222085815529238,[B]지표,False,1.065911318473629
rsi14,"(27.484, 34.114]",6454,-6.126592097830563,4507,-0.7648003625539678,40.292877745728866,38.86974229796649,41.7325470841302,-1.308503099474673,[B]지표,True,0.7648003625539678
rsi14,"(34.114, 39.531]",6454,-5.281866824310176,4744,-1.5928436142439417,38.87015177065767,37.492554976498184,40.26575945421072,-2.1365463511646468,[B]지표,True,1.5928436142439417
rsi14,"(39.531, 44.68]",6453,-3.292769162139851,4906,-1.6931373498038091,39.56379942927028,38.204149127336265,40.939780892727924,-2.236840086724514,[B]지표,True,1.6931373498038091
rsi14,"(44.68, 49.519]",6454,-1.3311197732108857,4449,-1.4110731496833289,40.05394470667566,38.62323609531557,41.50181483845221,-1.954775886604034,[B]지표,True,1.4110731496833289
rsi14,"(49.519, 54.27]",6454,-0.6139969813090218,3979,-1.4514967725740018,40.36189997486806,38.847440604973485,41.89495196218258,-1.9951995094947068,[B]지표,True,1.4514967725740018
rsi14,"(54.27, 59.326]",6453,0.9075401626128228,3675,-1.309094472763416,37.795918367346935,36.24174252343587,39.37558223444444,-1.8527972096841212,[B]지표,False,1.309094472763416
rsi14,"(59.326, 64.961]",6454,2.0483180150406124,3533,0.6601535902416331,37.673365411831305,36.08970763900142,39.28380074769025,0.11645085332092796,[B]지표,True,0.6601535902416331
rsi14,"(64.961, 72.625]",6454,6.021496924279857,3446,3.5535554641631566,42.309924550203135,40.669816774906096,43.96715902131597,3.0098527272424516,[B]지표,True,3.5535554641631566
